accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_acc,prec_at_rec_0.2,prec_at_rec_0.4,prec_at_rec_0.6,group,name,n,n_pos
0.9580573951434879,0.0,0.0,0.0,0.6503416856492028,0.06275255561220316,0.49430523917995445,0.11363636363636363,0.08695652173913043,0.05263157894736842,project,freerdp/freerdp,453,14
0.8726114649681529,0.0,0.0,0.0,0.6932624113475176,0.19259637809670505,0.4858156028368794,0.30434782608695654,0.30434782608695654,0.15714285714285714,project,vim/vim,157,16
0.8676470588235294,0.11764705882352941,0.4,0.18181818181818182,0.7114503816793893,0.10014905980095853,0.6427480916030535,0.15384615384615385,0.15384615384615385,0.14285714285714285,project,gnome/libxml2,136,5
0.9340659340659341,0.0,0.0,0.0,0.9255813953488372,0.34783549783549783,0.4941860465116279,0.5,0.5,0.5,project,libssh2/libssh2,91,5
0.8987341772151899,0.0,0.0,0.0,0.5981735159817352,0.17654798120899814,0.4863013698630137,0.25,0.25,0.11428571428571428,project,hashcat/hashcat,79,6
0.8285714285714286,0.0,0.0,0.0,0.4626593806921676,0.12739080508628953,0.47540983606557374,0.16666666666666666,0.16666666666666666,0.16666666666666666,project,radareorg/radare2,70,9
0.41935483870967744,0.0,0.0,0.0,0.3571428571428571,0.3813734726015235,0.38235294117647056,0.4827586206896552,0.4827586206896552,0.4827586206896552,project,openssl/openssl,31,14
0.6666666666666666,0.0,0.0,0.0,0.7592592592592593,0.6716980607589482,0.5,1.0,0.5555555555555556,0.5454545454545454,project,python/cpython,27,9
0.9615384615384616,0.0,0.0,0.0,0.52,0.07692307692307693,0.5,0.07692307692307693,0.07692307692307693,0.07692307692307693,project,redis/redis,26,1
0.391304347826087,0.0,0.0,0.0,0.6825396825396826,0.8167666109506002,0.5,1.0,1.0,0.7,project,torvalds/linux,23,14
0.0,0.0,0.0,0.0,nan,1.0,0.0,nan,nan,nan,project,libevent/libevent,6,6
0.25,1.0,0.25,0.4,nan,1.0,0.125,nan,nan,nan,project,imagemagick/imagemagick,4,4
0.0,0.0,0.0,0.0,nan,1.0,0.0,nan,nan,nan,project,pnggroup/libpng,3,3
0.9692982456140351,0.0,0.0,0.0,0.9451851851851852,0.15925925925925927,0.4911111111111111,0.2,0.2,0.2,cwe,CWE-191,228,3
0.8588957055214724,0.0,0.0,0.0,0.5990497076023391,0.14989336619259971,0.4861111111111111,0.21212121212121213,0.18181818181818182,0.17333333333333334,cwe,CWE-125,163,19
0.8064516129032258,0.07142857142857142,0.08333333333333333,0.07692307692307693,0.5632440476190476,0.11543682754691248,0.4836309523809524,0.13793103448275862,0.12941176470588237,0.12941176470588237,cwe,CWE-121,124,12
0.7454545454545455,0.14285714285714285,0.043478260869565216,0.06666666666666667,0.671664167916042,0.3410024301470796,0.4872563718140929,0.5,0.48,0.3181818181818182,cwe,CWE-787,110,23
0.941747572815534,0.6666666666666666,0.2857142857142857,0.4,0.7708333333333333,0.4749011150852093,0.6376488095238095,1.0,0.4,0.35714285714285715,cwe,CWE-190,103,7
0.8260869565217391,0.0,0.0,0.0,0.6523855890944499,0.19320509198468216,0.4810126582278481,0.2647058823529412,0.2647058823529412,0.2647058823529412,cwe,CWE-416,92,13
0.8783783783783784,0.5,0.2222222222222222,0.3076923076923077,0.7401709401709401,0.36233257435527816,0.5957264957264957,0.6666666666666666,0.6666666666666666,0.3333333333333333,cwe,CWE-122,74,9
0.9090909090909091,0.0,0.0,0.0,0.3548387096774194,0.057179566123531644,0.4838709677419355,0.06896551724137931,0.06896551724137931,0.0625,cwe,CWE-193,66,4
0.9523809523809523,0.0,0.0,0.0,0.5722222222222222,0.09977324263038548,0.5,0.16666666666666666,0.07142857142857142,0.07142857142857142,cwe,CWE-908,63,3
0.7575757575757576,0.0,0.0,0.0,0.57,0.3780324074074074,0.5,0.6666666666666666,0.4,0.3333333333333333,cwe,CWE-476,33,8
0.8928571428571429,0.0,0.0,0.0,0.52,0.14435564435564435,0.5,0.15384615384615385,0.15384615384615385,0.15384615384615385,cwe,CWE-415,28,3
0.9230769230769231,0.0,0.0,0.0,0.96,0.5,0.48,0.5,0.5,0.5,cwe,CWE-252,26,1
0.92,0.0,0.0,0.0,0.9130434782608696,0.41666666666666663,0.5,0.5,0.5,0.5,cwe,CWE-189,25,2
0.9565217391304348,0.0,0.0,0.0,0.0,0.043478260869565216,0.5,0.043478260869565216,0.043478260869565216,0.043478260869565216,cwe,CWE-59,23,1
0.9565217391304348,0.0,0.0,0.0,0.0,0.043478260869565216,0.5,0.043478260869565216,0.043478260869565216,0.043478260869565216,cwe,CWE-22,23,1
0.7692307692307693,0.0,0.0,0.0,0.5666666666666667,0.5435897435897437,0.5,1.0,0.4,0.4,cwe,CWE-617,13,3
0.8181818181818182,0.0,0.0,0.0,0.5,0.25,0.5,0.25,0.25,0.25,cwe,CWE-362,11,2
0.7777777777777778,0.0,0.0,0.0,0.8571428571428572,0.75,0.5,1.0,1.0,0.5,cwe,CWE-120,9,2
0.0,0.0,0.0,0.0,nan,1.0,0.0,nan,nan,nan,cwe,CWE-78,8,8
1.0,0.0,0.0,0.0,nan,0.0,0.5,nan,nan,nan,cwe,CWE-77,7,0
1.0,0.0,0.0,0.0,nan,0.0,0.5,nan,nan,nan,cwe,CWE-184,7,0
0.0,0.0,0.0,0.0,nan,1.0,0.0,nan,nan,nan,cwe,CWE-825,4,4
